time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1900,10676,189.8586,3.000149,-4.009385e-05,1.401217e-06,-1.02469735568596,189.859127929925,3.00919571349066,-0.000400444456514521,-0.000238493091002789,0.00904673465013452,-0.000360350606514521,182.208600006149,3.00045571795242,-4.009385e-05,1.39999999788618e-06,185.06610575002,3.00865649805554,0.00028573420421715,-0.00157791680770927,0.00831534850316484,0.00032582805421715
1901,10685,190.0222,3.000143,-3.983733e-05,1.700528e-06,-1.00917989159953,190.020348801926,3.00914524163008,-0.000402662710878686,-0.000205223851604223,0.0090021678761438,-0.000362825380878686,182.37220000607,3.00044775557442,-3.983733e-05,1.69890109890049e-06,185.227326942476,3.00866237501234,0.000269987859790791,-0.00157115370828786,0.00832836006532795,0.000309825189790791
1902,10694,190.1859,3.000136,-3.953182e-05,1.999838e-06,-0.994141326274767,190.181590656816,3.00909384424929,-0.000404549913127651,-0.000172285668050567,0.00895767388611428,-0.000365018093127651,182.535900005978,3.00043841842292,-3.953182e-05,1.99780219478552e-06,185.388569119495,3.00866662859592,0.000254314058364725,-0.00156341155888043,0.0083409813684575,0.000293845878364725
1903,10703,190.3495,3.00013,-3.917733e-05,2.299149e-06,-0.979232470037322,190.342853448398,3.00904157112943,-0.000406109442515441,-0.000139691288388636,0.00891131072844366,-0.000366932112515441,182.699500005871,3.00042970657442,-3.917733e-05,2.2972527437844e-06,185.549832234642,3.00866928450756,0.000238722492507532,-0.00155471019834597,0.00835124633311778,0.000277899822507532
1904,10712,190.5132,3.000123,-3.877386e-05,2.598459e-06,-0.964814782835422,190.504137130568,3.00898847262285,-0.000407344791709787,-0.000107452128137704,0.00886512121375782,-0.000368570931709787,182.863200005751,3.00041962002893,-3.877386e-05,2.59615384223388e-06,185.711116241548,3.00867036865595,0.000223222650394784,-0.00154507056693811,0.00836117332621741,0.000261996510394784
1905,10720,190.6586,3.000118,-3.83741e-05,2.864513e-06,-0.950875319330723,190.665441657312,3.00893459978571,-0.000408259568548578,-7.55785440486273e-05,0.00881686232165929,-0.000369885468548578,183.008600005633,3.00041156186493,-3.83741e-05,2.86153845721775e-06,185.872421093913,3.00866990692324,0.000207823806382035,-0.00153451452110704,0.00836824160902365,0.000246197906382035
1906,10729,190.8223,3.000112,-3.78781e-05,3.163824e-06,-0.936930944673053,190.826766982708,3.00888000443485,-0.000408857479187732,-4.40811381012842e-05,0.00876817362938052,-0.000370979379187732,183.172300005488,3.00040176746493,-3.78781e-05,3.16098901098771e-06,186.033746745511,3.00866792506536,0.000192535012677026,-0.00152306451369702,0.00837454376023912,0.000230413112677026
1907,10738,190.9859,3.000105,-3.733313e-05,3.463134e-06,-0.923492272729275,190.988113060917,3.00882473898096,-0.000409142348896944,-1.29731558179174e-05,0.00871982159537662,-0.000371809218896944,183.335900005331,3.00039059844443,-3.733313e-05,3.45989010467152e-06,186.195093150197,3.00866444878369,0.000177365095916486,-0.00151074314945562,0.00838059296283758,0.000214698225916486
1908,10747,191.1496,3.000099,-3.673917e-05,3.762445e-06,-0.910205620946182,191.149479846185,3.00876885618522,-0.000409118134931229,1.77339788315781e-05,0.00866985176501374,-0.000372378964931229,183.499600005163,3.00038005465044,-3.673917e-05,3.75879120312184e-06,186.356460261907,3.00865950392212,0.000162322656515756,-0.00149757311560599,0.00838440794071172,0.000199061826515756
1909,10756,191.3132,3.000093,-3.609623e-05,4.061756e-06,-0.897251552134341,191.310867292829,3.00871240898643,-0.000408788895985195,4.80295227523965e-05,0.00861932477887707,-0.000372692665985195,183.663200004984,3.00036913615944,-3.609623e-05,4.05824175211448e-06,186.517848034659,3.0086531167311,0.000147416068358682,-0.00148357689396005,0.00838702259808545,0.000183512298358683
